"datetime","wind_speed","v_var","u*","wind_dir","L"
2020-05-06 11:30:00,3.78922,3.84082,0.513486,292.388,504.353
2020-05-06 12:00:00,3.8963,2.62998,0.483996,292.912,273.791
2020-05-06 12:30:00,3.81908,2.60713,0.469005,279.858,217.585
2020-05-06 13:00:00,3.99514,2.81427,0.460224,276.629,316.555
2020-05-06 13:30:00,3.93662,2.8535,0.393644,273.137,139.812
2020-05-06 14:00:00,3.28058,1.43657,0.336069,273.132,112.674
2020-05-06 14:30:00,2.40545,1.0099,0.239847,272.447,38.8043
2020-05-06 15:00:00,2.52676,1.36864,0.367669,305.853,152.697
2020-05-06 15:30:00,2.86826,1.27667,0.393925,308.721,185.089
2020-05-06 16:00:00,2.67192,1.39866,0.314159,307.769,134.064
2020-05-06 16:30:00,2.39575,0.791491,0.307661,311.029,85.5883
2020-05-06 17:00:00,3.04219,2.84152,0.416724,317.14,116.371
2020-05-06 17:30:00,2.25921,1.12349,0.33024,306.143,111.742
2020-05-06 18:00:00,2.49786,1.43751,0.335746,305.664,88.4711
2020-05-06 18:30:00,3.20193,1.42652,0.332858,287.893,106.942
2020-05-06 19:00:00,2.76925,0.982279,0.366103,289.265,112.347
2020-05-06 19:30:00,2.35514,0.585923,0.253283,273.057,54.7504
2020-05-06 20:00:00,1.99237,0.388458,0.205487,273.659,29.3263
2020-05-06 20:30:00,1.97327,0.287546,0.238037,278.345,30.6783
2020-05-06 21:00:00,1.92087,0.311976,0.216012,282.187,25.5537
2020-05-06 21:30:00,1.98621,0.375937,0.20107,281.629,21.8951
2020-05-06 22:00:00,2.55183,0.525442,0.311376,274.53,84.6531
2020-05-06 22:30:00,2.79075,0.682754,0.331072,282.692,86.1901
2020-05-06 23:00:00,3.12679,0.858586,0.356474,274.733,101.288
2020-05-06 23:30:00,2.93696,0.851846,0.340042,278.082,89.5346
2020-05-07,2.9529,0.946472,0.294746,276.06,66.6237
2020-05-07 01:30:00,2.75031,0.971971,0.34705,283.101,88.7459
2020-05-07 02:00:00,2.94192,0.902369,0.367081,289.542,119.322
2020-05-07 02:30:00,2.77532,0.825707,0.361111,291.246,121.757
2020-05-07 03:00:00,2.94192,0.815541,0.304428,297.784,83.6784
2020-05-07 03:30:00,2.40323,0.594049,0.257602,292.936,50.6052
2020-05-07 04:00:00,2.65566,0.669116,0.304981,291.07,90.8582
2020-05-07 04:30:00,2.40446,0.826526,0.236398,299.335,53.0652
2020-05-07 05:00:00,2.61687,0.758667,0.309953,310.717,91.5118
2020-05-07 05:30:00,3.82083,2.00752,0.40516,308.891,150.749
2020-05-07 06:00:00,4.13308,2.06442,0.507471,312.541,615.37
2020-05-07 06:30:00,4.29915,2.35785,0.530715,316.797,664.711
2020-05-07 07:00:00,4.09992,2.28043,0.389826,326.416,186.419
2020-05-07 07:30:00,3.73223,2.21891,0.401037,325.807,289.133
2020-05-07 08:00:00,3.95965,2.37758,0.457169,321.99,301.749
2020-05-07 08:30:00,3.55867,1.68595,0.390331,323.18,296.597
2020-05-07 09:00:00,3.34887,1.80755,0.406932,317.236,323.213
2020-05-07 09:30:00,3.2865,2.27081,0.42162,309.635,418.559
2020-05-07 10:00:00,3.88931,2.71597,0.462869,312.101,399.65
2020-05-07 10:30:00,3.68227,1.59775,0.458352,313.216,417.696
2020-05-07 11:00:00,3.58073,2.8075,0.490912,319.916,4078.06
2020-05-07 11:30:00,3.52729,2.62463,0.400882,304.08,488.87
2020-05-07 12:00:00,3.65757,2.30797,0.516307,297.006,580.729
2020-05-07 12:30:00,3.57434,2.23984,0.436,287.902,281.474
2020-05-07 13:00:00,3.2242,2.31919,0.394664,298.293,220.471
2020-05-07 13:30:00,3.28519,2.75414,0.406299,301.162,513.291
2020-05-07 14:00:00,3.37015,1.60496,0.454483,304.178,255.392
2020-05-07 14:30:00,3.26194,1.82763,0.329642,288.341,115.07
2020-05-07 15:00:00,3.03633,1.35083,0.327092,305.203,120.284
2020-05-07 15:30:00,2.81652,1.80771,0.338274,311.451,214.157
2020-05-07 16:00:00,3.41875,1.71665,0.392514,295.232,185.549
2020-05-07 16:30:00,3.12984,1.80892,0.383063,290.653,188.103
2020-05-07 17:00:00,3.14839,1.64214,0.43522,291.272,239.072
2020-05-07 17:30:00,2.80764,1.96633,0.393074,295.127,243.608
2020-05-07 18:00:00,2.20001,1.08992,0.27879,304.238,72.445
2020-05-07 18:30:00,2.31477,0.883487,0.287793,298.285,73.9551
2020-05-07 19:00:00,1.78218,0.360707,0.236071,308.353,42.0913
2020-05-07 19:30:00,1.30762,0.194782,0.147775,307.935,12.9795
2020-05-07 20:00:00,0.725611,0.0783,0.12695,287.42,9.30455
2020-05-07 20:30:00,0.197234,0.0964,0.225231,219.356,8.12719
2020-05-07 21:00:00,0.474284,0.3223,0.205339,230.485,10.4329
2020-05-07 21:30:00,0.928994,0.10244,0.11698,275.784,5.81374
2020-05-07 22:00:00,1.15379,0.120767,0.130696,263.072,8.01538
2020-05-07 22:30:00,1.36186,0.119328,0.121708,262.532,9.62817
2020-05-07 23:00:00,1.07687,0.0718,0.103004,258.638,6.26023
